service_id,date,exception_type
027-34-0415072024-E#M,20240730,2
027-34-0415092024-E#M,20240902,2
027-34-0415092024-E#M,20240903,2
027-34-0415092024-E#M,20240909,2
027-34-0415092024-E#M,20240910,2
027-34-0415092024-E#M,20240916,2
027-34-0415092024-E#M,20240917,2
027-34-0415102024-E#M,20241008,2
027-34-0415102024-E#M,20241015,2
027-34-0415102024-E#M,20241022,2
027-34-0515112024-E#M,20241110,2
027-34-0515112024-E#M,20241117,2
027-34-0515112024-E#M,20241124,2
027-40-0745062024-OL#M,20240604,2
027-40-0745062024-OL#M,20240605,2
027-40-0745062024-OL#M,20240606,2
027-40-0745072024-OL#M,20240716,2
027-40-0745072024-OL#M,20240717,2
027-40-0745072024-OL#M,20240718,2
027-40-0745072024-OL#M,20240723,2
027-40-0745072024-OL#M,20240724,2
027-40-0745072024-OL#M,20240725,2
027-40-0745092024-OL#M,20240903,2
027-40-0745092024-OL#M,20240904,2
027-40-0745092024-OL#M,20240905,2
027-40-0745092024-OL#M,20240910,2
027-40-0745092024-OL#M,20240911,2
027-40-0745092024-OL#M,20240912,2
027-40-0745092024-OL#M,20240917,2
027-40-0745092024-OL#M,20240918,2
027-40-0745092024-OL#M,20240919,2
027-40-0745102024-OL#M,20241008,2
027-40-0745102024-OL#M,20241009,2
027-40-0745102024-OL#M,20241010,2
027-40-0745102024-OL#M,20241015,2
027-40-0745102024-OL#M,20241016,2
027-40-0745102024-OL#M,20241017,2
027-40-0745102024-OL#M,20241022,2
027-40-0745102024-OL#M,20241023,2
027-40-0745102024-OL#M,20241024,2
027-40-0845112024-OL#M,20241108,2
027-40-0845112024-OL#M,20241115,2
027-40-0845112024-OL#M,20241122,2
027-40-0845112024-OL#M,20241129,2
027-60-0745072024-KA#M,20240702,2
027-60-0745072024-KA#M,20240709,2
027-60-0745072024-KA#M,20240716,2
027-60-0745102024-KA#M,20241008,2
027-60-0745102024-KA#M,20241015,2
027-60-0745102024-KA#M,20241022,2
027-70-0700072024-KA#ZH,20240703,2
027-70-0700072024-KA#ZH,20240710,2
027-70-0700072024-KA#ZH,20240717,2
027-70-0700092024-KA#ZH,20240918,2
027-70-0700092024-KA#ZH,20240925,2
027-70-0700102024-KA#ZH,20241009,2
027-70-0700102024-KA#ZH,20241016,2
027-70-0700102024-KA#ZH,20241023,2
027-71-1300072024-ZH#KA,20240703,2
027-71-1300072024-ZH#KA,20240710,2
027-71-1300072024-ZH#KA,20240717,2
027-71-1300092024-ZH#KA,20240918,2
027-71-1300092024-ZH#KA,20240925,2
027-71-1300102024-ZH#KA,20241009,2
027-71-1300102024-ZH#KA,20241016,2
027-71-1300102024-ZH#KA,20241023,2
032-6-1320072024-KHG#B,20240702,2
032-6-1320072024-KHG#B,20240703,2
032-6-1320072024-KHG#B,20240704,2
032-6-1320072024-KHG#B,20240709,2
032-6-1320072024-KHG#B,20240710,2
032-6-1320072024-KHG#B,20240711,2
032-9-0940072024-B#KHG,20240708,2
032-9-0940072024-B#KHG,20240709,2
032-9-0940072024-B#KHG,20240710,2
034-97-0930102024-M#B,20241011,2
034-97-0930102024-M#B,20241013,2
034-97-0930102024-M#B,20241018,2
034-97-0930102024-M#B,20241020,2
034-98-0840102024-B#M,20241011,2
034-98-0840102024-B#M,20241013,2
034-98-0840102024-B#M,20241018,2
034-98-0840102024-B#M,20241020,2
039-113-0700062024-B#C,20240604,2
039-113-0700102024-B#C,20241002,2
039-113-0700102024-B#C,20241003,2
039-113-0700102024-B#ZWB,20241010,2
039-113-0700102024-B#ZWB,20241017,2
039-113-0700102024-B#ZWB,20241024,2
039-24-1300102024-AUE#B,20241009,2
039-24-1300102024-AUE#B,20241016,2
039-24-1300102024-AUE#B,20241023,2
039-30-1305102024-ZWB#B,20241010,2
039-30-1305102024-ZWB#B,20241017,2
039-30-1305102024-ZWB#B,20241024,2
039-30-1400062024-C#B,20240604,2
039-30-1400102024-C#B,20241002,2
039-30-1400102024-C#B,20241003,2
039-85-0700102024-B#AUE,20241009,2
039-85-0700102024-B#AUE,20241016,2
039-85-0700102024-B#AUE,20241023,2
040-22-1855062024-MUC#INN,20240611,2
040-22-1855062024-MUC#INN,20240612,2
040-22-1855062024-MUC#INN,20240618,2
040-22-1855062024-MUC#INN,20240619,2
040-22-1855062024-MUC#INN,20240625,2
040-22-1855062024-MUC#INN,20240626,2
040-22-1900102024-MUC#INN,20241008,2
040-22-1900102024-MUC#INN,20241009,2
040-22-1900102024-MUC#INN,20241015,2
040-22-1900102024-MUC#INN,20241016,2
040-22-1900102024-MUC#INN,20241022,2
040-22-1900102024-MUC#INN,20241023,2
040-9-1515062024-INN#MUC,20240611,2
040-9-1515062024-INN#MUC,20240612,2
040-9-1515062024-INN#MUC,20240618,2
040-9-1515062024-INN#MUC,20240619,2
040-9-1515062024-INN#MUC,20240625,2
040-9-1515062024-INN#MUC,20240626,2
040-9-1515102024-INN#MUC,20241008,2
040-9-1515102024-INN#MUC,20241009,2
040-9-1515102024-INN#MUC,20241015,2
040-9-1515102024-INN#MUC,20241016,2
040-9-1515102024-INN#MUC,20241022,2
040-9-1515102024-INN#MUC,20241023,2
044-1-1300072024-B#OL,20240702,2
044-1-1300072024-B#OL,20240703,2
044-1-1300082024-B#OL,20240813,2
044-1-1300082024-B#OL,20240814,2
044-1-1300082024-B#OL,20240820,2
044-1-1300082024-B#OL,20240821,2
044-1-1300082024-B#OL,20240827,2
044-1-1300082024-B#OL,20240828,2
