route_id,trip_id,service_id,trip_short_name,trip_headsign,route_short_name,direction_id,block_id,shape_id,wheelchair_accessible,trip_bikes_allowed,bikes_allowed,ticketing_trip_id,ticketing_type
001,001-18-0850062024-M#FR-00,001-18-0850062024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,,,,,1
001,001-18-0850072024-M#FR-00,001-18-0850072024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,,,,,1
001,001-18-0850082024-M#FR-00,001-18-0850082024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,,,,,1
001,001-18-0850092024-M#FR-00,001-18-0850092024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,,,,,1
001,001-18-0850102024-M#FR-00,001-18-0850102024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,,,,,1
001,001-18-0950062024-M#FR-00,001-18-0950062024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,,,,,1
001,001-18-0950072024-M#FR-00,001-18-0950072024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,,,,,1
001,001-18-0950082024-M#FR-00,001-18-0950082024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,,,,,1
001,001-18-0950092024-M#FR-00,001-18-0950092024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,,,,,1
001,001-18-0950102024-M#FR-00,001-18-0950102024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,,,,,1
001,001-18-0950112024-M#FR-00,001-18-0950112024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,,,,,1
001,001-18-1050102024-M#FR-00,001-18-1050102024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,,,,,1
001,001-18-1050112024-M#FR-00,001-18-1050112024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,,,,,1
001,001-18-1050122024-M#FR-00,001-18-1050122024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,,,,,1
001,001-2-0620062024-M#FR-00,001-2-0620062024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,,,,,1
001,001-2-0620072024-M#FR-00,001-2-0620072024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,,,,,1
001,001-2-0620082024-M#FR-00,001-2-0620082024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,,,,,1
001,001-2-0620092024-M#FR-00,001-2-0620092024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,,,,,1
001,001-2-0620102024-M#FR-00,001-2-0620102024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,,,,,1
001,001-2-0720062024-M#FR-00,001-2-0720062024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,,,,,1
001,001-2-0720072024-M#FR-00,001-2-0720072024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,,,,,1
001,001-2-0720082024-M#FR-00,001-2-0720082024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,,,,,1
001,001-2-0720092024-M#FR-00,001-2-0720092024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,,,,,1
001,001-2-0720102024-M#FR-00,001-2-0720102024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,,,,,1
001,001-2-0720112024-M#FR-00,001-2-0720112024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,,,,,1
001,001-2-0820102024-M#FR-00,001-2-0820102024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,,,,,1
001,001-2-0820112024-M#FR-00,001-2-0820112024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,,,,,1
001,001-2-0820122024-M#FR-00,001-2-0820122024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,,,,,1
001,001-26-1230062024-M#FR-00,001-26-1230062024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,,,,,1
001,001-26-1230072024-M#FR-00,001-26-1230072024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,,,,,1
001,001-26-1230082024-M#FR-00,001-26-1230082024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,,,,,1
001,001-26-1230092024-M#FR-00,001-26-1230092024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,,,,,1
001,001-26-1230102024-M#FR-00,001-26-1230102024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,,,,,1
001,001-26-1315062024-M#FR-00,001-26-1315062024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,,,,,1
001,001-26-1315072024-M#FR-00,001-26-1315072024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,,,,,1
001,001-26-1315082024-M#FR-00,001-26-1315082024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,,,,,1
001,001-26-1315092024-M#FR-00,001-26-1315092024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,,,,,1
001,001-26-1315102024-M#FR-00,001-26-1315102024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,,,,,1
001,001-26-1330062024-M#FR-00,001-26-1330062024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,,,,,1
001,001-26-1330072024-M#FR-00,001-26-1330072024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,,,,,1
001,001-26-1330082024-M#FR-00,001-26-1330082024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,,,,,1
001,001-26-1330092024-M#FR-00,001-26-1330092024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,,,,,1
001,001-26-1330102024-M#FR-00,001-26-1330102024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,,,,,1
001,001-26-1330112024-M#FR-00,001-26-1330112024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,,,,,1
001,001-26-1330122024-M#FR-00,001-26-1330122024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,,,,,1
001,001-26-1415102024-M#FR-00,001-26-1415102024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,,,,,1
001,001-26-1415112024-M#FR-00,001-26-1415112024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,,,,,1
001,001-26-1430102024-M#FR-00,001-26-1430102024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,,,,,1
001,001-26-1430112024-M#FR-00,001-26-1430112024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,,,,,1
001,001-26-1430122024-M#FR-00,001-26-1430122024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,,,,,1
001,001-29-1200062024-FR#M-00,001-29-1200062024-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,,,,,1
001,001-29-1200072024-FR#M-00,001-29-1200072024-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,,,,,1
001,001-29-1200082024-FR#M-00,001-29-1200082024-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,,,,,1
001,001-29-1200092024-FR#M-00,001-29-1200092024-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,,,,,1
